word
word,	desc,	level,	length
consider,	deem to be,	1,	8
minute,	infinitely or immeasurably small,	1,	6
accord,	concurrence of opinion,	1,	6
evident,	clearly revealed to the mind or the senses or judgment,	1,	7
practice,	a customary way of operation or behavior,	1,	8
intend,	have in mind as a purpose,	1,	6
concern,	something that interests you because it is important,	1,	7
commit,	perform an act usually with a negative connotation,	1,	6
issue,	some situation or event that is thought about,	1,	5
approach,	move towards,	1,	8
establish,	set up or found,	1,	9
utter,	without qualification,	1,	5
conduct,	direct the course of manage or control,	1,	7
engage,	consume all of ones attention or time,	1,	6
obtain,	come into possession of,	1,	6
scarce,	deficient in quantity or number compared with the demand,	1,	6
policy,	a plan of action adopted by an individual or social group,	1,	6
straight,	successive without a break,	1,	8
stock,	capital raised by a corporation through the issue of shares,	1,	5
apparent,	clearly revealed to the mind or the senses or judgment,	1,	8
property,	a basic or essential attribute shared by members of a class,	1,	8
fancy,	imagine conceive of see in ones mind,	1,	5
concept,	an abstract or general idea inferred from specific instances,	1,	7
court,	an assembly to conduct judicial business,	1,	5
appoint,	assign a duty responsibility or obligation to,	1,	7
passage,	a section of text particularly a section of medium length,	1,	7
vain,	unproductive of success,	1,	4
instance,	an occurrence of something,	1,	8
coast,	the shore of a sea or ocean,	1,	5
project,	a planned undertaking,	1,	7
commission,	a special group delegated to consider some matter,	1,	10
constant,	a quantity that does not vary,	1,	8
circumstances,	ones overall condition in life,	1,	13
constitute,	compose or represent,	1,	10
level,	a relative position or degree of value in a graded group,	1,	5
affect,	have an influence upon,	1,	6
institute,	set up or lay the groundwork for,	1,	9
render,	give an interpretation of,	1,	6
appeal,	be attractive to,	1,	6
generate,	bring into existence,	1,	8
theory,	a wellsubstantiated explanation of some aspect of the world,	1,	6
range,	a variety of different things or activities,	1,	5
campaign,	a race between candidates for elective office,	1,	8
league,	an association of sports teams that organizes matches,	1,	6
labor,	any piece of work that is undertaken or attempted,	1,	5
confer,	have a meeting in order to talk something over,	1,	6
grant,	allow to have,	1,	5
dwell,	think moodily or anxiously about something,	1,	5
entertain,	provide amusement for,	1,	9
contract,	a binding agreement that is enforceable by law,	1,	8
earnest,	characterized by a firm sincere belief in ones opinions,	1,	7
yield,	give or supply,	1,	5
wander,	move or cause to move in a sinuous or circular course,	1,	6
insist,	be emphatic or resolute and refuse to budge,	1,	6
knight,	a person of noble birth trained to arms and chivalry,	1,	6
convince,	make realize the truth or validity of something,	1,	8
inspire,	serve as the inciting cause of,	1,	7
convention,	a large formal assembly,	1,	10
skill,	an ability that has been acquired by training,	1,	5
harry,	annoy continually or chronically,	1,	5
financial,	involving fiscal matters,	1,	9
reflect,	show an image of,	1,	7
novel,	an extended fictional work in prose,	1,	5
furnish,	provide with objects or articles that make a room usable,	1,	7
compel,	force somebody to do something,	1,	6
venture,	proceed somewhere despite the risk of possible dangers,	1,	7
territory,	the geographical area under the jurisdiction of a state,	1,	9
temper,	a characteristic state of feeling,	1,	6
bent,	fixed in your purpose,	1,	4
intimate,	marked by close acquaintance association or familiarity,	1,	8
undertake,	enter upon an activity or enterprise,	1,	9
majority,	more than half of the votes in an election,	1,	8
assert,	declare or affirm solemnly and formally as true,	1,	6
crew,	the people who work on a vehicle,	1,	4
chamber,	a natural or artificial enclosed space,	1,	7
humble,	marked by meekness or modesty not arrogant or prideful,	1,	6
scheme,	an elaborate and systematic plan of action,	1,	6
keen,	demonstrating ability to recognize or draw fine distinctions,	1,	4
liberal,	having political views favoring reform and progress,	1,	7
despair,	a state in which all hope is lost or absent,	1,	7
tide,	the periodic rise and fall of the sea level,	1,	4
attitude,	a complex mental state involving beliefs and feelings,	1,	8
justify,	show to be reasonable or provide adequate ground for,	1,	7
flag,	a rectangular piece of cloth of distinctive design,	1,	4
merit,	any admirable or beneficial attribute,	1,	5
